# slug<TAB>literal text expected in the live article (whitespace and quote style are normalized)
contextual-retrieval	49%
contextual-retrieval	67%
contextual-retrieval	$1.02 per million document tokens
contextual-retrieval	200,000 tokens
building-effective-agents	predefined code paths
building-effective-agents	Poka-yoke
building-effective-agents	agent-computer interface
swe-bench-sonnet	49%
swe-bench-sonnet	45%
swe-bench-sonnet	str_replace
claude-think-tool	54%
claude-think-tool	0.812
claude-think-tool	1.6%
claude-code-best-practices	CLAUDE.md
claude-code-best-practices	/permissions
claude-code-best-practices	/rewind
claude-code-best-practices	plan mode
multi-agent-research-system	90.2%
multi-agent-research-system	15x
multi-agent-research-system	80%
desktop-extensions	.mcpb
desktop-extensions	manifest.json
writing-tools-for-agents	asana_search
writing-tools-for-agents	response_format
a-postmortem-of-three-recent-issues	16%
a-postmortem-of-three-recent-issues	XLA:TPU
building-agents-with-the-claude-agent-sdk	Claude Agent SDK
building-agents-with-the-claude-agent-sdk	gather context
effective-context-engineering-for-ai-agents	context rot
effective-context-engineering-for-ai-agents	right altitude
effective-context-engineering-for-ai-agents	compaction
equipping-agents-for-the-real-world-with-agent-skills	SKILL.md
equipping-agents-for-the-real-world-with-agent-skills	progressive disclosure
claude-code-sandboxing	84%
claude-code-sandboxing	bubblewrap
code-execution-with-mcp	150,000
code-execution-with-mcp	98.7%
code-execution-with-mcp	callMCPTool
advanced-tool-use	advanced-tool-use-2025-11-20
advanced-tool-use	defer_loading
advanced-tool-use	input_examples
advanced-tool-use	85%
advanced-tool-use	49%
advanced-tool-use	74%
effective-harnesses-for-long-running-agents	claude-progress.txt
effective-harnesses-for-long-running-agents	init.sh
effective-harnesses-for-long-running-agents	"passes": false
demystifying-evals-for-ai-agents	pass^k
demystifying-evals-for-ai-agents	pass@k
demystifying-evals-for-ai-agents	Harbor
AI-resistant-technical-evaluations	1487
AI-resistant-technical-evaluations	Zachtronics
building-c-compiler	100,000
building-c-compiler	$20,000
building-c-compiler	2 billion
infrastructure-noise	6 percentage points
infrastructure-noise	5.8%
infrastructure-noise	1.54
eval-awareness-browsecomp	1,266
eval-awareness-browsecomp	0.87%
eval-awareness-browsecomp	86.57%
harness-design-long-running-apps	$124.70
harness-design-long-running-apps	27 criteria
harness-design-long-running-apps	Playwright
claude-code-auto-mode	93%
claude-code-auto-mode	0.4%
claude-code-auto-mode	17%
managed-agents	execute(name, input)
managed-agents	cattle
managed-agents	60%
april-23-postmortem	clear_thinking_20251015
april-23-postmortem	v2.1.101
april-23-postmortem	3%
how-we-contain-claude	gVisor
how-we-contain-claude	bubblewrap
how-we-contain-claude	OTLP
contextual-retrieval	35%
contextual-retrieval	5.7%
contextual-retrieval	1.9%
contextual-retrieval	top-20
building-effective-agents	orchestrator
building-effective-agents	evaluator-optimizer
building-effective-agents	Prompt chaining
swe-bench-sonnet	SWE-bench Verified
swe-bench-sonnet	500
claude-think-tool	0.570
claude-think-tool	0.370
claude-think-tool	0.623
claude-code-best-practices	/clear
claude-code-best-practices	claude -p
multi-agent-research-system	CitationAgent
multi-agent-research-system	rainbow deployments
multi-agent-research-system	3-10 tool calls
desktop-extensions	user_config
writing-tools-for-agents	jira_search
a-postmortem-of-three-recent-issues	0.8%
a-postmortem-of-three-recent-issues	Trainium
building-agents-with-the-claude-agent-sdk	verify
effective-context-engineering-for-ai-agents	attention budget
effective-context-engineering-for-ai-agents	just in time
equipping-agents-for-the-real-world-with-agent-skills	reference.md
equipping-agents-for-the-real-world-with-agent-skills	forms.md
claude-code-sandboxing	/sandbox
code-execution-with-mcp	2,000
code-execution-with-mcp	search_tools
advanced-tool-use	tool_search_tool_regex
advanced-tool-use	code_execution_20250825
advanced-tool-use	37%
advanced-tool-use	72%
advanced-tool-use	90%
effective-harnesses-for-long-running-agents	initializer
effective-harnesses-for-long-running-agents	Puppeteer
demystifying-evals-for-ai-agents	Braintrust
demystifying-evals-for-ai-agents	LangSmith
demystifying-evals-for-ai-agents	Terminal-Bench
AI-resistant-technical-evaluations	1363
AI-resistant-technical-evaluations	Perfetto
building-c-compiler	99%
building-c-compiler	140 million
infrastructure-noise	2.1%
infrastructure-noise	227
infrastructure-noise	p = 0.40
eval-awareness-browsecomp	0.24%
eval-awareness-browsecomp	40.5 million
harness-design-long-running-apps	$200
harness-design-long-running-apps	sprint contract
claude-code-auto-mode	10,000
claude-code-auto-mode	8.5%
claude-code-auto-mode	5.7%
managed-agents	wake(sessionId)
managed-agents	getEvents()
managed-agents	90%
april-23-postmortem	April 7
april-23-postmortem	25 words
april-23-postmortem	100 words
how-we-contain-claude	Seatbelt
how-we-contain-claude	83%
how-we-contain-claude	Cowork
